CHROM	start	stop	length	midpoint
chr1	1	248956422	248956422	124478211
chr2	248956423	491149951	242193529	370053186
chr3	491149952	689445510	198295559	590297731
chr4	689445511	879660065	190214555	784552788
chr5	879660066	1061198324	181538259	970429195
chr6	1061198325	1232004303	170805979	1146601314
chr7	1232004304	1391350276	159345973	1311677289
chr8	1391350277	1536488912	145138636	1463919594
chr9	1536488913	1674883629	138394717	1605686270
chr10	1674883630	1808681051	133797422	1741782340
chr11	1808681052	1943767673	135086622	1876224362
chr12	1943767674	2077042982	133275309	2010405327
chr13	2077042983	2191407310	114364328	2134225146
chr14	2191407311	2298451028	107043718	2244929169
chr15	2298451029	2400442217	101991189	2349446622
chr16	2400442218	2490780562	90338345	2445611389
chr17	2490780563	2574038003	83257441	2532409282
chr18	2574038004	2654411288	80373285	2614224645
chr19	2654411289	2713028904	58617616	2683720096
chr20	2713028905	2777473071	64444167	2745250988
chr21	2777473072	2824183054	46709983	2800828063
chr22	2824183055	2875001522	50818468	2849592288
chrX	2875001523	3031042417	156040895	2953021970
chrY	3031042418	3088269832	57227415	3059656125
